date,TSCO.LON,BARC.LON,ULVR.LON
2022-06-15,251.2,160.76,3627.0
2022-06-14,246.7,156.76,3609.5
2022-06-13,246.1,156.08,3628.5
2022-06-10,250.1,159.8,3639.5
2022-06-09,252.2,165.92,3638.0
2022-06-08,259.7,168.56,3677.5
2022-06-07,258.0,169.0,3696.0
2022-06-06,260.5,171.36,3718.0
2022-06-01,258.9,167.8,3705.0
2022-05-31,259.0,169.06,3825.0
2022-05-30,259.2,171.22,3495.5
2022-05-27,258.5,170.38,3475.5
2022-05-26,258.0,167.68,3488.0
2022-05-25,255.3,163.88,3493.0
2022-05-24,258.3,162.78,3541.0
2022-05-23,261.9,157.74,3539.0
2022-05-20,260.3,152.72,3516.5
2022-05-19,255.1,153.28,3451.5
2022-05-18,266.1,155.2,3626.0
2022-05-17,278.3,155.86,3666.0
2022-05-16,286.7,151.7,3732.5
2022-05-13,281.2,150.36,3747.0
2022-05-12,274.1,145.94,3688.5
2022-05-11,275.9,147.3,3690.5
2022-05-10,277.2,143.64,3700.5
2022-05-09,275.5,145.98,3636.0
2022-05-06,271.4,148.64,3597.0
2022-05-05,271.7,149.82,3630.0
2022-05-04,271.7,150.56,3622.0
2022-05-03,276.7,151.0,3658.5
2022-04-29,272.0,148.2,3719.0
2022-04-28,272.3,146.3,3675.0
2022-04-27,273.6,141.92,3577.5
2022-04-26,270.2,142.98,3642.0
2022-04-25,268.6,144.18,3606.5
2022-04-22,265.6,146.7,3541.0
2022-04-21,265.1,150.06,3515.0
2022-04-20,266.5,148.88,3468.5
2022-04-19,270.3,145.7,3421.5
2022-04-14,266.3,145.86,3429.0
2022-04-13,265.2,144.26,3436.5
2022-04-12,270.6,143.26,3432.0
2022-04-11,275.2,144.94,3490.5
2022-04-08,271.3,144.6,3537.5
2022-04-07,272.7,140.58,3503.0
2022-04-06,272.7,143.34,3497.5
2022-04-05,274.7,147.0,3536.5
2022-04-04,275.9,146.3,3520.0
2022-04-01,279.0,147.04,3508.0
2022-03-31,276.0,148.3,3455.0
2022-03-30,282.85,151.44,3548.0
2022-03-29,280.25,156.44,3530.0
2022-03-28,280.25,160.48,3427.5
2022-03-25,275.75,167.3,3386.5
2022-03-24,275.05,168.34,3370.0
2022-03-23,276.1,170.0,3385.0
2022-03-22,279.0,172.86,3439.5
2022-03-21,277.35,168.5,3405.5
2022-03-18,278.75,170.58,3420.5
2022-03-17,277.4,171.72,3439.5
2022-03-16,277.65,175.16,3411.5
2022-03-15,278.5,168.16,3381.5
2022-03-14,276.95,170.0,3423.0
2022-03-11,272.75,161.1,3391.5
2022-03-10,274.1,157.78,3364.5
2022-03-09,274.8,161.8,3434.0
2022-03-08,266.05,152.26,3336.5
2022-03-07,272.8,151.62,3328.0
2022-03-04,275.35,156.8,3410.5
